Dataset,Model,Strategy,Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support,Classification_Report
GERMEVAL,GBERT,DYNAMIC_MIXED,1,0.8192627824019025,0.7998358990388372,0.7910713834171997,0.7950622034115685,0.817922957959531,0.8534031413612565,0.8779174147217235,0.8654867256637168,1114.0,0.746268656716418,0.704225352112676,0.7246376811594203,568.0,"{""0"": {""precision"": 0.8534031413612565, ""recall"": 0.8779174147217235, ""f1-score"": 0.8654867256637168, ""support"": 1114.0}, ""1"": {""precision"": 0.746268656716418, ""recall"": 0.704225352112676, ""f1-score"": 0.7246376811594203, ""support"": 568.0}, ""accuracy"": 0.8192627824019025, ""macro avg"": {""precision"": 0.7998358990388372, ""recall"": 0.7910713834171997, ""f1-score"": 0.7950622034115685, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8172245520162694, ""recall"": 0.8192627824019025, ""f1-score"": 0.817922957959531, ""support"": 1682.0}}"
GERMEVAL,GBERT,DYNAMIC_MIXED,2,0.8234244946492271,0.8065748205089809,0.7911930740637723,0.7977778614375528,0.8211552599910988,0.8500428449014568,0.8904847396768402,0.8697939500219202,1114.0,0.7631067961165049,0.6919014084507042,0.7257617728531855,568.0,"{""0"": {""precision"": 0.8500428449014568, ""recall"": 0.8904847396768402, ""f1-score"": 0.8697939500219202, ""support"": 1114.0}, ""1"": {""precision"": 0.7631067961165049, ""recall"": 0.6919014084507042, ""f1-score"": 0.7257617728531855, ""support"": 568.0}, ""accuracy"": 0.8234244946492271, ""macro avg"": {""precision"": 0.8065748205089809, ""recall"": 0.7911930740637723, ""f1-score"": 0.7977778614375528, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8206851304485123, ""recall"": 0.8234244946492271, ""f1-score"": 0.8211552599910988, ""support"": 1682.0}}"
GERMEVAL,GBERT,DYNAMIC_MIXED,3,0.8340273646638905,0.8216125093369806,0.7985673756170465,0.8078944490388763,0.8309504245983648,0.8517270429654591,0.90754039497307,0.878748370273794,1114.0,0.791497975708502,0.689594356261023,0.7370405278039586,567.0,"{""0"": {""precision"": 0.8517270429654591, ""recall"": 0.90754039497307, ""f1-score"": 0.878748370273794, ""support"": 1114.0}, ""1"": {""precision"": 0.791497975708502, ""recall"": 0.689594356261023, ""f1-score"": 0.7370405278039586, ""support"": 567.0}, ""accuracy"": 0.8340273646638905, ""macro avg"": {""precision"": 0.8216125093369806, ""recall"": 0.7985673756170465, ""f1-score"": 0.8078944490388763, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8314118251577883, ""recall"": 0.8340273646638905, ""f1-score"": 0.8309504245983648, ""support"": 1681.0}}"
GERMEVAL,GBERT,DYNAMIC_MIXED,4,0.8203450327186199,0.8057825860199559,0.7821821992976989,0.7915262227653814,0.8167484452364558,0.8406040268456376,0.8994614003590664,0.8690372940156115,1114.0,0.7709611451942741,0.6649029982363316,0.7140151515151515,567.0,"{""0"": {""precision"": 0.8406040268456376, ""recall"": 0.8994614003590664, ""f1-score"": 0.8690372940156115, ""support"": 1114.0}, ""1"": {""precision"": 0.7709611451942741, ""recall"": 0.6649029982363316, ""f1-score"": 0.7140151515151515, ""support"": 567.0}, ""accuracy"": 0.8203450327186199, ""macro avg"": {""precision"": 0.8057825860199559, ""recall"": 0.7821821992976989, ""f1-score"": 0.7915262227653814, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8171135367228993, ""recall"": 0.8203450327186199, ""f1-score"": 0.8167484452364558, ""support"": 1681.0}}"
GERMEVAL,GBERT,DYNAMIC_MIXED,5,0.8262938726948245,0.8149665932797017,0.7864933310555154,0.797380926434117,0.8221959747996062,0.8412302576891105,0.9092542677448338,0.8739205526770294,1113.0,0.7887029288702929,0.6637323943661971,0.7208413001912046,568.0,"{""0"": {""precision"": 0.8412302576891105, ""recall"": 0.9092542677448338, ""f1-score"": 0.8739205526770294, ""support"": 1113.0}, ""1"": {""precision"": 0.7887029288702929, ""recall"": 0.6637323943661971, ""f1-score"": 0.7208413001912046, ""support"": 568.0}, ""accuracy"": 0.8262938726948245, ""macro avg"": {""precision"": 0.8149665932797017, ""recall"": 0.7864933310555154, ""f1-score"": 0.797380926434117, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8234815826331389, ""recall"": 0.8262938726948245, ""f1-score"": 0.8221959747996062, ""support"": 1681.0}}"
GERMEVAL,GELECTRA_BASE,DYNAMIC_MIXED,1,0.8079667063020214,0.7853789514477107,0.7851322477052621,0.7852552358478446,0.8079251862463465,0.8547085201793722,0.855475763016158,0.8550919694930462,1114.0,0.7160493827160493,0.7147887323943662,0.7154185022026431,568.0,"{""0"": {""precision"": 0.8547085201793722, ""recall"": 0.855475763016158, ""f1-score"": 0.8550919694930462, ""support"": 1114.0}, ""1"": {""precision"": 0.7160493827160493, ""recall"": 0.7147887323943662, ""f1-score"": 0.7154185022026431, ""support"": 568.0}, ""accuracy"": 0.8079667063020214, ""macro avg"": {""precision"": 0.7853789514477107, ""recall"": 0.7851322477052621, ""f1-score"": 0.7852552358478446, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8078842692405093, ""recall"": 0.8079667063020214, ""f1-score"": 0.8079251862463465, ""support"": 1682.0}}"
GERMEVAL,GELECTRA_BASE,DYNAMIC_MIXED,2,0.8043995243757431,0.7830274501334302,0.773378827723974,0.7776915397702506,0.8027045064848285,0.8410078192875761,0.8689407540394973,0.8547461368653422,1114.0,0.7250470809792844,0.6778169014084507,0.7006369426751592,568.0,"{""0"": {""precision"": 0.8410078192875761, ""recall"": 0.8689407540394973, ""f1-score"": 0.8547461368653422, ""support"": 1114.0}, ""1"": {""precision"": 0.7250470809792844, ""recall"": 0.6778169014084507, ""f1-score"": 0.7006369426751592, ""support"": 568.0}, ""accuracy"": 0.8043995243757431, ""macro avg"": {""precision"": 0.7830274501334302, ""recall"": 0.773378827723974, ""f1-score"": 0.7776915397702506, ""support"": 1682.0}, ""weighted avg"": {""precision"": 0.8018486639016605, ""recall"": 0.8043995243757431, ""f1-score"": 0.8027045064848285, ""support"": 1682.0}}"
GERMEVAL,GELECTRA_BASE,DYNAMIC_MIXED,3,0.816775728732897,0.7963099619053168,0.7898812294383808,0.7928776022914565,0.8157712540663566,0.8541300527240774,0.8725314183123878,0.8632326820603907,1114.0,0.7384898710865562,0.7072310405643739,0.7225225225225225,567.0,"{""0"": {""precision"": 0.8541300527240774, ""recall"": 0.8725314183123878, ""f1-score"": 0.8632326820603907, ""support"": 1114.0}, ""1"": {""precision"": 0.7384898710865562, ""recall"": 0.7072310405643739, ""f1-score"": 0.7225225225225225, ""support"": 567.0}, ""accuracy"": 0.816775728732897, ""macro avg"": {""precision"": 0.7963099619053168, ""recall"": 0.7898812294383808, ""f1-score"": 0.7928776022914565, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.815124708887983, ""recall"": 0.816775728732897, ""f1-score"": 0.8157712540663566, ""support"": 1681.0}}"
GERMEVAL,GELECTRA_BASE,DYNAMIC_MIXED,4,0.7965496728138013,0.7726956177284257,0.7702908944680339,0.7714572619808612,0.7960991806983087,0.8434163701067615,0.8509874326750448,0.8471849865951743,1114.0,0.7019748653500898,0.689594356261023,0.6957295373665481,567.0,"{""0"": {""precision"": 0.8434163701067615, ""recall"": 0.8509874326750448, ""f1-score"": 0.8471849865951743, ""support"": 1114.0}, ""1"": {""precision"": 0.7019748653500898, ""recall"": 0.689594356261023, ""f1-score"": 0.6957295373665481, ""support"": 567.0}, ""accuracy"": 0.7965496728138013, ""macro avg"": {""precision"": 0.7726956177284257, ""recall"": 0.7702908944680339, ""f1-score"": 0.7714572619808612, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.7957082599360102, ""recall"": 0.7965496728138013, ""f1-score"": 0.7960991806983087, ""support"": 1681.0}}"
GERMEVAL,GELECTRA_BASE,DYNAMIC_MIXED,5,0.8138013087447947,0.7958940437316024,0.7792145957506043,0.7861987976163629,0.8111050369623817,0.841296928327645,0.8858939802336029,0.863019693654267,1113.0,0.75049115913556,0.6725352112676056,0.7093779015784587,568.0,"{""0"": {""precision"": 0.841296928327645, ""recall"": 0.8858939802336029, ""f1-score"": 0.863019693654267, ""support"": 1113.0}, ""1"": {""precision"": 0.75049115913556, ""recall"": 0.6725352112676056, ""f1-score"": 0.7093779015784587, ""support"": 568.0}, ""accuracy"": 0.8138013087447947, ""macro avg"": {""precision"": 0.7958940437316024, ""recall"": 0.7792145957506043, ""f1-score"": 0.7861987976163629, ""support"": 1681.0}, ""weighted avg"": {""precision"": 0.8106141937047394, ""recall"": 0.8138013087447947, ""f1-score"": 0.8111050369623817, ""support"": 1681.0}}"
