Model,Dataset,Strategy,N,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support
xlm-roberta-large-xnli,GERMEVAL,UNMASKED,8407,0.6973950279528964,0.6549315465534584,0.6207423911512575,0.6257187281336547,0.6789255709731081,0.7320853153291391,0.8567067696175256,0.7895085222571571,5569.0,0.5777777777777777,0.38477801268498946,0.4619289340101523,2838.0
xlm-roberta-large-xnli,GERMEVAL,PER_ORG_LOC_GENERIC_ENTITY,8407,0.692637088140835,0.6489540558808533,0.6048826111423463,0.6070793297318102,0.6666404406711542,0.7207513681408075,0.8750224456814509,0.7904298459042984,5569.0,0.5771567436208992,0.3347427766032417,0.423728813559322,2838.0
xlm-roberta-large-xnli,GERMEVAL,PER_ONLY,8407,0.6954918520280718,0.6531009665738995,0.6100613154643564,0.613238707469937,0.6711786965822059,0.7240506329113924,0.8730472257137727,0.7915988277434061,5569.0,0.5821513002364066,0.3470754052149401,0.434878587196468,2838.0
xlm-roberta-large-xnli,GERMEVAL,ORG_ONLY,8407,0.6950160580468657,0.651827330562268,0.6135036826102819,0.6174799770809696,0.6734247689218844,0.7268609391514419,0.8644280840366314,0.7896981627296588,5569.0,0.5767937219730942,0.36257928118393234,0.4452617914322804,2838.0
xlm-roberta-large-xnli,GERMEVAL,LOC_ONLY,8407,0.6951350065421672,0.6517597968069666,0.6167037819217451,0.6212081308908523,0.6755684694486715,0.7293956043956044,0.8581432932303825,0.788548799603993,5569.0,0.5741239892183289,0.3752642706131078,0.4538674621777115,2838.0
xlm-roberta-large-xnli,GERMEVAL,PER_ORG_LOC_TYPED,8407,0.6939455215891519,0.65180318330776,0.6028463022234607,0.6041548095892677,0.665398174841936,0.7189418298743058,0.883282456455378,0.7926839094351785,5569.0,0.5846645367412141,0.3224101479915433,0.4156257097433568,2838.0
xlm-roberta-large-xnli,GERMEVAL,X_LENGTH,8407,0.687284405852266,0.6429445630460318,0.6265888979958142,0.6310560397622114,0.6778444821119796,0.7401960784313726,0.8134314957802119,0.7750876892805202,5569.0,0.5456930476606908,0.4397463002114165,0.4870243902439024,2838.0
xlm-roberta-large-xnli,GERMEVAL,RANDOM_SUBSTITUTION,8407,0.683953847983823,0.636036372311793,0.6089553871596909,0.6127950967564209,0.6667170028613141,0.7260167649798199,0.8398276171664572,0.7787861127299975,5569.0,0.546055979643766,0.3780831571529246,0.44680408078284406,2838.0
xlm-roberta-large-xnli,HASOC,UNMASKED,4594,0.7379190248149761,0.5386318762626904,0.5643364778630473,0.5375371438413546,0.76999072798668,0.8990748528174937,0.7916563811404591,0.841953268574429,4051.0,0.17818889970788704,0.3370165745856354,0.23312101910828026,543.0
xlm-roberta-large-xnli,HASOC,PER_ORG_LOC_GENERIC_ENTITY,4594,0.7377013495864171,0.5297999173666921,0.5482653715768518,0.5277801923369086,0.7681991997255064,0.8946200776483638,0.7963465810910886,0.8426276609638239,4051.0,0.16497975708502025,0.3001841620626151,0.21293272370999347,543.0
